"HEADER_NAME","HEADER_VALUE"
"DENUM","431"
"LENUM","431"
"TDATEF","20130526104458"
"TDATEB","20130524193151"
"JDEPOC","2440400.5"
"CENTER","0"
"CLIGHT","299792.458"
"BETA","1"
"GAMMA","1"
"AU","149597870.7"
"EMRAT","81.3005690741906"
"GM1","4.91248045036476e-11"
"GM2","7.24345233264412e-10"
"GMB","8.99701139019987e-10"
"GM4","9.54954869555077e-11"
"GM5","2.82534584083387e-07"
"GM6","8.45970607324503e-08"
"GM7","1.29202482578296e-08"
"GM8","1.52435734788511e-08"
"GM9","2.17844105197418e-12"
"GMS","0.000295912208285591"
"XS","0.00450250878464055"
"YS","0.000767076427091007"
"ZS","0.000266057917766978"
"XDS","-3.51749536075523e-07"
"YDS","5.1776264098334e-06"
"ZDS","2.22910217891203e-06"
"X1","0.361762716560282"
"Y1","-0.090781972156766"
"Z1","-0.0857149725627512"
"XD1","0.00336749397200576"
"YD1","0.0248945205576834"
"ZD1","0.0129463004097041"
"X2","0.612751940835072"
"Y2","-0.348365369033622"
"Z2","-0.195278286675944"
"XD2","0.0109520684235282"
"YD2","0.0156176842678677"
"ZD2","0.00633110570297786"
"XB","0.120517414101385"
"YB","-0.925838474769149"
"ZB","-0.401540226453152"
"XDB","0.0168112683097838"
"YDB","0.00174830923073434"
"ZDB","0.000758202897383129"
"X4","-0.110186077148798"
"Y4","-1.32759945030298"
"Z4","-0.605889140484291"
"XD4","0.0144816530570476"
"YD4","0.000242463076836469"
"ZD4","-0.000281520727924339"
"X5","-5.37970676855394"
"Y5","-0.830481326563398"
"Z5","-0.224828874426565"
"XD5","0.00109201259423734"
"YD5","-0.00651811661280738"
"ZD5","-0.00282078276229868"
"X6","7.89439068290953"
"Y6","4.59647805517127"
"Z6","1.5586958428319"
"XD6","-0.00321755651650092"
"YD6","0.00433581034174663"
"ZD6","0.00192864631686016"
"X7","-18.2654022538724"
"Y7","-1.16195541867587"
"Z7","-0.250106057721338"
"XD7","0.000221190391015615"
"YD7","-0.00376247500810884"
"ZD7","-0.00165101502742995"
"X8","-16.0550357802334"
"Y8","-23.9421915598547"
"Z8","-9.40015796880239"
"XD8","0.00264276984798006"
"YD8","-0.00149831255054098"
"ZD8","-0.000679041960802913"
"X9","-30.4833137671838"
"Y9","-0.87240555684105"
"Z9","8.91157617249955"
"XD9","0.000322207373497781"
"YD9","-0.00314357639364533"
"ZD9","-0.00107794975959731"
"XM","-0.000808177346120816"
"YM","-0.00199462998688382"
"ZM","-0.00108726268305927"
"XDM","0.000601084816187921"
"YDM","-0.000167445467833187"
"ZDM","-8.55621411952947e-05"
"XC","0"
"YC","0"
"ZC","0"
"XDC","0"
"YDC","0"
"ZDC","0"
"PHI","0.00512837298396436"
"THT","0.382392839748082"
"PSI","1.29416815418413"
"OMEGAX","4.57402687151552e-05"
"OMEGAY","-2.19679109286634e-06"
"OMEGAZ","0.229944858828018"
"PHIC","-0.00241990927040684"
"THTC","0.411019464886527"
"PSIC","-0.463094685583637"
"OMGCX","-0.00645450280833146"
"OMGCY","-0.00121043891457082"
"OMGCZ","0.227118386125627"
"ASUN","696000"
"J2SUN","2.11060885327268e-07"
"J3SUN","0"
"J4SUN","0"
"RE","6378.1363"
"J2E","0.00108262545"
"J3E","-2.53241e-06"
"J4E","-1.619898e-06"
"J5E","-2.277345e-07"
"J2EDOT","-2.6e-11"
"K2E0","0.335"
"K2E1","0.32"
"K2E2","0.32"
"TAUE0","0.064"
"TAUE1","-0.044"
"TAUE2","-0.1"
"TAUER1","0.00736321902280419"
"TAUER2","0.00258812438409993"
"ROTEX","0.00567542033228935"
"ROTEY","-0.0170226569149895"
"DROTEX","0.000276899155744835"
"DROTEY","-0.00121185912165592"
"AM","1738"
"K2M","0.024059"
"TAUM","0.207471452830839"
"LBET","0.00063102084400807"
"LGAM","0.000227732878412993"
"IFAC","7e-04"
"COBLAT","0.000246239047891981"
"KVC","0"
"PSIDOT","0"
"J2M","0.000203215684649526"
"C22M","2.23829006804559e-05"
"J3M","8.45970269745946e-06"
"C31M","2.84807411955929e-05"
"S31M","5.89155515553186e-06"
"C32M","4.84494206197706e-06"
"S32M","1.68447439627839e-06"
"C33M","1.67561781341146e-06"
"S33M","-2.47427143798058e-07"
"J4M","-9.70441383657e-06"
"C41M","-5.70486973197332e-06"
"S41M","1.57892027892457e-06"
"C42M","-1.59122717929774e-06"
"S42M","-1.51539157967317e-06"
"C43M","-8.06788815967782e-08"
"S43M","-8.03492666274311e-07"
"C44M","-1.2692158612216e-07"
"S44M","8.29642577540752e-08"
"J5M","7.42216083840529e-07"
"C51M","-8.66297693089836e-07"
"S51M","-3.52722893932438e-06"
"C52M","7.11995379673533e-07"
"S52M","1.71078866734304e-07"
"C53M","1.53997504249045e-08"
"S53M","2.87362576163343e-07"
"C54M","2.14447043192185e-08"
"S54M","5.26521107201468e-10"
"C55M","7.65961538840061e-09"
"S55M","-6.78240354739953e-09"
"J6M","-1.37675313509699e-05"
"C61M","1.20243636015459e-06"
"S61M","-2.04535071412522e-06"
"C62M","-5.47038973241569e-07"
"S62M","-2.69668343535743e-07"
"C63M","-6.8785612757292e-08"
"S63M","-7.10637452959158e-08"
"C64M","1.29155804029252e-09"
"S64M","-1.53616169666323e-08"
"C65M","1.17376987844605e-09"
"S65M","-8.34650731951425e-09"
"C66M","-1.09133951788815e-09"
"S66M","1.68442137026329e-09"
"J7M","0"
"J8M","0"
"J9M","0"
"C71M","0"
"S71M","0"
"C72M","0"
"S72M","0"
"C73M","0"
"S73M","0"
"C74M","0"
"S74M","0"
"C75M","0"
"S75M","0"
"C76M","0"
"S76M","0"
"C77M","0"
"S77M","0"
"C81M","0"
"S81M","0"
"C82M","0"
"S82M","0"
"C83M","0"
"S83M","0"
"C84M","0"
"S84M","0"
"C85M","0"
"S85M","0"
"C86M","0"
"S86M","0"
"C87M","0"
"S87M","0"
"C88M","0"
"S88M","0"
"C91M","0"
"S91M","0"
"C92M","0"
"S92M","0"
"C93M","0"
"S93M","0"
"C94M","0"
"S94M","0"
"C95M","0"
"S95M","0"
"C96M","0"
"S96M","0"
"C97M","0"
"S97M","0"
"C98M","0"
"S98M","0"
"C99M","0"
"S99M","0"
"MA0001","1.40047655617234e-13"
"MA0002","3.10444819893871e-14"
"MA0003","3.61753831714794e-15"
"MA0004","3.85475018780881e-14"
"MA0005","3.74873628455203e-16"
